i275457060,c24364617,0008-011X 0757-8075,PB1011740,cahiers du cinéma,
i275457916,c24370526,0015-1270 0015-1270 1,PB1009624,film heritage,
i275432439,c1740910x,0199-7300 1,PB1008424,the film journal,
i275460885,c24373679,0045-1150,PB1011669,l'avant-scène cinéma,
i27542585x,c21926451,0300-7472,PB1011402,afterimage,
i275459986,c24373679,0045-1150,PB1010821,l'avant-scène cinéma,
i275427109,c21926451,0300-7472,PB1009243,afterimage,
i275441246,c17414477,1077-9361 0742-533 0742-5333 1,PB1008139,international documentary,
i275466309,c24496601,0847-5911,PB1011951,revue canadienne d'études cinématographiques,
i275423591,c22834175,0738-7563,PB1014559,video networks,
i275447376,c14756985,0160-6840,PB1007488,wide angle,
i275456535,c24364617,0008-011X 0757-8075,PB1010524,cahiers du cinéma,
i275473703,c24500331,0311-3639 0311-3639,PB1012965,cinema papers,
i275480288,c24501670,0751-7033,PB1013739,iris,Collection  Iris  (Plon (Firm))
i275480938,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013804,main,"MAIN (Oakland, Calif.)"
i27542246x,c14643856,0015-1327 0160-7316,PB1012815,film library quarterly,
i275441064,c17414477,1077-9361 0742-533 0742-5333 1,PB1008120,international documentary,
i275433341,c1740910x,0199-7300 1,PB1008515,the film journal,
i275455841,c24364617,0008-011X 0757-8075,PB1010494,cahiers du cinéma,
i275441799,c17414477,1077-9361 0742-533 0742-5333 1,PB1008132,international documentary,
i275442263,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015238,the journal of popular film and television,
i275471251,c24498361,0743-4545 0743-4545 1,PB1012630,film and video makers travel sheet,
i275481888,c24501785,0025-6897 0025-6897 1,PB1013886,media and methods,
i275468653,c24497447,1027-5991 1027-5991,PB1012092,blimp,"Blimp (Graz, Austria)"
i275481736,c24501785,0025-6897 0025-6897 1,PB1013871,media and methods,
i275467302,c24497320,0006-8527 0006-8527 1,PB1012067,box office,
i275460460,c24373679,0045-1150,PB1010868,l'avant-scène cinéma,
i27544708x,c16330274,0036-9543 0036-9546 z,PB1013224,screen,"Screen (London, England)"
i275484968,c24501906,0146-0013,PB1014648,quarterly review of film studies,
i275463849,c24369780,0015-153X,PB1010183,filmfacts,
i275463515,c24373643,0894-9263 0894-9263 1,PB1011005,premiere,"Premiere (New York, N.Y. : 1987)"
i275440680,c21349447,0731-5198,PB1013677,the independent,"Independent (New York, N.Y. : 1978)"
i27545311x,c24357613,0027-0407,PB1007508,monthly film bulletin,
i275481086,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013820,main,"MAIN (Oakland, Calif.)"
i275467168,c24497320,0006-8527 0006-8527 1,PB1011997,box office,
i275460794,c24373679,0045-1150,PB1011658,l'avant-scène cinéma,
i283001070,c24364617,0008-011X 0757-8075,PB1016046,cahiers du cinéma,
i275456626,c24364617,0008-011X 0757-8075,PB1010533,cahiers du cinéma,
i275486837,c24502571,0306-0691,PB1014448,screen education,Screen education (1974)
i275424029,c22834175,0738-7563,PB1014602,video networks,
i275440539,c21349447,0731-5198,PB1013662,the independent,"Independent (New York, N.Y. : 1978)"
i275471627,c24498361,0743-4545 0743-4545 1,PB1012667,film and video makers travel sheet,
i275446566,c16330274,0036-9543 0036-9546 z,PB1007257,screen,"Screen (London, England)"
i275457722,c24366675,0198-1056 1,PB1010606,cinefex,
i275459342,c24373667,0048-4911 0048-4911 z,PB1010746,positif,
i275459615,c24373667,0048-4911 0048-4911 z,PB1010773,positif,
i27609444x,c24501487,1063-8954 1063-8954 1,PB1015849,filmmaker,
i27543901x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012046,the independent film & video monthly,
i275450971,c24357571,0019-3712 0019-3712 1,PB1014103,the independent film journal,
i275485614,c24501955,1079-6851 1079-6851 1,PB1014411,scenario,"Scenario (New York, N.Y.)"
i275469748,c24498282,0145-6032 1,PB1012409,cinefantastique,
i275469219,c24497460,0009-7071 0009-7071 4,PB1012307,cinema canada,
i27543364x,c1740910x,0199-7300 1,PB1008545,the film journal,
i275440606,c21349447,0731-5198,PB1013669,the independent,"Independent (New York, N.Y. : 1978)"
i275477708,c2450144x,0015-1610 0015-1610 1,PB1013248,filmmakers newsletter,
i275482066,c24501785,0025-6897 0025-6897 1,PB1013949,media and methods,
i275426774,c21926451,0300-7472,PB1009210,afterimage,
i275478257,c24501487,1063-8954 1063-8954 1,PB1013126,filmmaker,
i275478701,c24501499,0194-4339 0194-4339 1,PB1013172,filmmakers,
i275475967,c24500422,0896-6389 0896-6389 1,PB1012865,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275422677,c14643856,0015-1327 0160-7316,PB1012835,film library quarterly,
i275457667,c24366675,0198-1056 1,PB1010173,cinefex,
i275474616,c24500380,0015-1025 0015-1025 z,PB1013045,film,"Film (London, England : 1954)"
i275458568,c24373667,0048-4911 0048-4911 z,PB1010667,positif,
i275473491,c24500331,0311-3639 0311-3639,PB1012793,cinema papers,
i27543350x,c1740910x,0199-7300 1,PB1008531,the film journal,
i275431861,c1740910x,0199-7300 1,PB1008364,the film journal,
i275451379,c24357571,0019-3712 0019-3712 1,PB1014143,the independent film journal,
i275438508,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013701,the independent film & video monthly,
i27547494x,c24500380,0015-1025 0015-1025 z,PB1013078,film,"Film (London, England : 1954)"
i275466322,c24496601,0847-5911,PB1011953,revue canadienne d'études cinématographiques,
i275426191,c21926451,0300-7472,PB1011435,afterimage,
i275462079,c24373679,0045-1150,PB1010954,l'avant-scène cinéma,
i275483629,c24501839,0164-9655 0164-9655 1,PB1014029,millimeter,
i275432762,c1740910x,0199-7300 1,PB1008457,the film journal,
i275466796,c24497307,0158-4154 0158-4154,PB1012174,cantrill's filmnotes,
i275466826,c24497307,0158-4154 0158-4154,PB1012177,cantrill's filmnotes,
i275433092,c1740910x,0199-7300 1,PB1008490,the film journal,
i275452888,c24357613,0027-0407,PB1010218,monthly film bulletin,
i275432592,c1740910x,0199-7300 1,PB1008440,the film journal,
i275476613,c24501402,0306-7661 0306-7661,PB1013394,framework,
i275476625,c24501402,0306-7661 0306-7661,PB1013395,framework,
i275463679,c24373643,0894-9263 0894-9263 1,PB1011021,premiere,"Premiere (New York, N.Y. : 1987)"
i275454873,c24358563,0037-4830,PB1011268,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275457114,c24364617,0008-011X 0757-8075,PB1010561,cahiers du cinéma,
i275474744,c24500380,0015-1025 0015-1025 z,PB1013058,film,"Film (London, England : 1954)"
i27544207x,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009102,the journal of popular film and television,
i27548127x,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013839,main,"MAIN (Oakland, Calif.)"
i275460320,c24373679,0045-1150,PB1010854,l'avant-scène cinéma,
i275460630,c24373679,0045-1150,PB1011642,l'avant-scène cinéma,
i275425642,c21926451,0300-7472,PB1011380,afterimage,
i275475396,c24500380,0015-1025 0015-1025 z,PB1013123,film,"Film (London, England : 1954)"
i27545664x,c24364617,0008-011X 0757-8075,PB1010535,cahiers du cinéma,
i275469918,c24498294,1049-0434 1049-0434 1,PB1012434,entertainment weekly,
i275439227,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009783,the independent film & video monthly,
i275479936,c24501621,0143-9685 z,PB1013444,"historical journal of film, radio, and television",
i275441817,c17414477,1077-9361 0742-533 0742-5333 1,PB1008165,international documentary,
i275449907,c24144083,0732-538X 1,PB1009941,photoplay,
i27547091x,c24498361,0743-4545 0743-4545 1,PB1012596,film and video makers travel sheet,
i275455051,c24358563,0037-4830,PB1011286,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275425502,c21926451,0300-7472,PB1011365,afterimage,
i275451963,c24357571,0019-3712 0019-3712 1,PB1014202,the independent film journal,
i275451616,c24357571,0019-3712 0019-3712 1,PB1014167,the independent film journal,
i275458829,c24373667,0048-4911 0048-4911 z,PB1010693,positif,
i275459421,c24373667,0048-4911 0048-4911 z,PB1010754,positif,
i275458775,c24373667,0048-4911 0048-4911 z,PB1010688,positif,
i275456390,c24364617,0008-011X 0757-8075,PB1010453,cahiers du cinéma,
i275433328,c1740910x,0199-7300 1,PB1008513,the film journal,
i275465913,c24495724,1041-617X 1,PB1011924,animation magazine,
i275462249,c24373679,0045-1150,PB1010971,l'avant-scène cinéma,
i275469001,c24497460,0009-7071 0009-7071 4,PB1012286,cinema canada,
i275426695,c21926451,0300-7472,PB1009202,afterimage,
i275426348,c21926451,0300-7472,PB1011450,afterimage,
i275459287,c24373667,0048-4911 0048-4911 z,PB1010740,positif,
i275471470,c24498361,0743-4545 0743-4545 1,PB1012652,film and video makers travel sheet,
i275450569,c24357571,0019-3712 0019-3712 1,PB1014062,the independent film journal,
i275446797,c16330274,0036-9543 0036-9546 z,PB1007272,screen,"Screen (London, England)"
i27545728x,c24364617,0008-011X 0757-8075,PB1010483,cahiers du cinéma,
i27545793x,c24370617,1549-0076,PB1009626,hollywood quarterly,
i275478117,c2450144x,0015-1610 0015-1610 1,PB1013289,filmmakers newsletter,
i275476844,c24501402,0306-7661 0306-7661,PB1013417,framework,
i275440023,c21349447,0731-5198,PB1013611,the independent,"Independent (New York, N.Y. : 1978)"
i275440631,c21349447,0731-5198,PB1013672,the independent,"Independent (New York, N.Y. : 1978)"
i275465664,c24495724,1041-617X 1,PB1011899,animation magazine,
i275450703,c24357571,0019-3712 0019-3712 1,PB1014076,the independent film journal,
i275458489,c24373667,0048-4911 0048-4911 z,PB1010659,positif,
i27542652x,c21926451,0300-7472,PB1011347,afterimage,
i275423827,c22834175,0738-7563,PB1014582,video networks,
i275476261,c24501360,0015-5128,PB1013359,focus on film,
i275422331,c14643856,0015-1327 0160-7316,PB1008681,film library quarterly,
i275422446,c14643856,0015-1327 0160-7316,PB1012813,film library quarterly,
i275456882,c24364617,0008-011X 0757-8075,PB1010473,cahiers du cinéma,
i275471895,c24499390,0360-3695 0885-1107,PB1012535,film & history,
i275425873,c21926451,0300-7472,PB1011403,afterimage,
i275447315,c14756985,0160-6840,PB1007482,wide angle,
i27546636x,c24496601,0847-5911,PB1011957,revue canadienne d'études cinématographiques,
i275441040,c17414477,1077-9361 0742-533 0742-5333 1,PB1008118,international documentary,
i275433365,c1740910x,0199-7300 1,PB1008517,the film journal,
i275455865,c24364617,0008-011X 0757-8075,PB1010496,cahiers du cinéma,
i27544126x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008141,international documentary,
i275466589,c24497307,0158-4154 0158-4154,PB1012153,cantrill's filmnotes,
i275453133,c24357613,0027-0407,PB1007510,monthly film bulletin,
i275471275,c24498361,0743-4545 0743-4545 1,PB1012632,film and video makers travel sheet,
i275423311,c22834175,0738-7563,PB1014531,video networks,
i275468987,c24497460,0009-7071 0009-7071 4,PB1012284,cinema canada,
i275481712,c24501785,0025-6897 0025-6897 1,PB1013869,media and methods,
i275481864,c24501785,0025-6897 0025-6897 1,PB1013884,media and methods,
i27544224x,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009779,the journal of popular film and television,
i275461804,c24373679,0045-1150,PB1010927,l'avant-scène cinéma,
i275461750,c24373679,0045-1150,PB1010922,l'avant-scène cinéma,
i275461208,c24373679,0045-1150,PB1010883,l'avant-scène cinéma,
i27548418x,c24501840,0885-5021 0885-5021 1,PB1014266,movietone news,
i275484981,c24501906,0146-0013,PB1014650,quarterly review of film studies,
i275463539,c24373643,0894-9263 0894-9263 1,PB1011007,premiere,"Premiere (New York, N.Y. : 1987)"
i275459044,c24373667,0048-4911 0048-4911 z,PB1010716,positif,
i275467181,c24497320,0006-8527 0006-8527 1,PB1011999,box office,
i27546040x,c24373679,0045-1150,PB1010862,l'avant-scène cinéma,
i275432014,c1740910x,0199-7300 1,PB1008380,the film journal,
i275442536,c17212534,0277-9897,PB1008170,post script,"Post script (Jacksonville, Fla.)"
i275486850,c24502571,0306-0691,PB1014450,screen education,Screen education (1974)
i27544689x,c16330274,0036-9543 0036-9546 z,PB1007281,screen,"Screen (London, England)"
i275471640,c24498361,0743-4545 0743-4545 1,PB1012669,film and video makers travel sheet,
i275424042,c22834175,0738-7563,PB1014604,video networks,
i275457709,c24366675,0198-1056 1,PB1010177,cinefex,
i275467983,c2449737x,0826-9866,PB1012215,cineaction!,
i275485584,c24501955,1079-6851 1079-6851 1,PB1014408,scenario,"Scenario (New York, N.Y.)"
i275459366,c24373667,0048-4911 0048-4911 z,PB1010748,positif,
i275487453,c24502698,1064-8658 1064-8658 1,PB1014894,visions magazine,"Visions magazine (Boston, Mass.)"
i275450958,c24357571,0019-3712 0019-3712 1,PB1014101,the independent film journal,
i275485638,c24501955,1079-6851 1079-6851 1,PB1014413,scenario,"Scenario (New York, N.Y.)"
i275475189,c24500380,0015-1025 0015-1025 z,PB1013102,film,"Film (London, England : 1954)"
i27546958x,c24497484,0886-6570 0886-6570 1,PB1012423,cinematograph,
i27547463x,c24500380,0015-1025 0015-1025 z,PB1013047,film,"Film (London, England : 1954)"
i275465585,c24495724,1041-617X 1,PB1011891,animation magazine,
i275474586,c24500380,0015-1025 0015-1025 z,PB1013042,film,"Film (London, England : 1954)"
i275473120,c24500331,0311-3639 0311-3639,PB1012756,cinema papers,
i27545373x,c24358617,0090-4260,PB1010131,literature film quarterly,
i275455269,c24358563,0037-4830,PB1011307,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275477721,c2450144x,0015-1610 0015-1610 1,PB1013250,filmmakers newsletter,
i275433560,c1740910x,0199-7300 1,PB1008537,the film journal,
i275482005,c24501785,0025-6897 0025-6897 1,PB1013943,media and methods,
i275470118,c24498294,1049-0434 1049-0434 1,PB1012454,entertainment weekly,
i275456079,c24364617,0008-011X 0757-8075,PB1010515,cahiers du cinéma,
i275426750,c21926451,0300-7472,PB1009208,afterimage,
i275485146,c2450192x,1050-9208 0146-0013 z,PB1014627,quarterly review of film and video,
i275458015,c24373655,0305-1706 0305-1706 z,PB1010613,film dope,
i275458544,c24373667,0048-4911 0048-4911 z,PB1010665,positif,
i275460988,c24373679,0045-1150,PB1011679,l'avant-scène cinéma,
i275433626,c1740910x,0199-7300 1,PB1008543,the film journal,
i275477587,c2450144x,0015-1610 0015-1610 1,PB1013198,filmmakers newsletter,
i275431848,c1740910x,0199-7300 1,PB1008366,the film journal,
i275451392,c24357571,0019-3712 0019-3712 1,PB1014145,the independent film journal,
i275438521,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013703,the independent film & video monthly,
i275433195,c1740910x,0199-7300 1,PB1008500,the film journal,
i275462055,c24373679,0045-1150,PB1010952,l'avant-scène cinéma,
i275472292,c24499419,0163-5069 0163-5069 1,PB1012497,film criticism,
i275483356,c24501839,0164-9655 0164-9655 1,PB1014002,millimeter,
i275483605,c24501839,0164-9655 0164-9655 1,PB1014027,millimeter,
i275426038,c21926451,0300-7472,PB1011419,afterimage,
i275466772,c24497307,0158-4154 0158-4154,PB1012172,cantrill's filmnotes,
i275466802,c24497307,0158-4154 0158-4154,PB1012175,cantrill's filmnotes,
i275474963,c24500380,0015-1025 0015-1025 z,PB1013080,film,"Film (London, England : 1954)"
i27543980x,c21349447,0731-5198,PB1013590,the independent,"Independent (New York, N.Y. : 1978)"
i275476182,c24501347,0015-1475,PB1012980,film world,"Film world (Bombay, India)"
i275432579,c1740910x,0199-7300 1,PB1008438,the film journal,
i275476674,c24501402,0306-7661 0306-7661,PB1013400,framework,
i275441453,c17414477,1077-9361 0742-533 0742-5333 1,PB1008159,international documentary,
i275457254,c24364617,0008-011X 0757-8075,PB1010426,cahiers du cinéma,
i275454812,c24358563,0037-4830,PB1011262,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275465949,c24495724,1041-617X 1,PB1011927,animation magazine,
i275473314,c24500331,0311-3639 0311-3639,PB1012775,cinema papers,
i275457138,c24364617,0008-011X 0757-8075,PB1010563,cahiers du cinéma,
i275475219,c24500380,0015-1025 0015-1025 z,PB1013105,film,"Film (London, England : 1954)"
i275461968,c24373679,0045-1150,PB1010943,l'avant-scène cinéma,
i275480872,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013798,main,"MAIN (Oakland, Calif.)"
i275470738,c24498361,0743-4545 0743-4545 1,PB1012578,film and video makers travel sheet,
i275460344,c24373679,0045-1150,PB1010856,l'avant-scène cinéma,
i275485134,c2450192x,1050-9208 0146-0013 z,PB1014626,quarterly review of film and video,
i275460617,c24373679,0045-1150,PB1011640,l'avant-scène cinéma,
i275469979,c24498294,1049-0434 1049-0434 1,PB1012440,entertainment weekly,
i275470933,c24498361,0743-4545 0743-4545 1,PB1012598,film and video makers travel sheet,
i275475372,c24500380,0015-1025 0015-1025 z,PB1013121,film,"Film (London, England : 1954)"
i275447121,c16330274,0036-9543 0036-9546 z,PB1013228,screen,"Screen (London, England)"
i27545194x,c24357571,0019-3712 0019-3712 1,PB1014200,the independent film journal,
i275453091,c24357613,0027-0407,PB1007506,monthly film bulletin,
i275481293,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013841,main,"MAIN (Oakland, Calif.)"
i275441878,c17414477,1077-9361 0742-533 0742-5333 1,PB1008968,international documentary,
i275455075,c24358563,0037-4830,PB1011288,sightlines,"Sightlines (New York, N.Y. : 1967)"
i27545180x,c24357571,0019-3712 0019-3712 1,PB1014186,the independent film journal,
i275450892,c24357571,0019-3712 0019-3712 1,PB1014095,the independent film journal,
i275456663,c24364617,0008-011X 0757-8075,PB1010537,cahiers du cinéma,
i275458842,c24373667,0048-4911 0048-4911 z,PB1010695,positif,
i275452761,c24357613,0027-0407,PB1010150,monthly film bulletin,
i275455385,c24358563,0037-4830,PB1011319,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275469396,c24497460,0009-7071 0009-7071 4,PB1012390,cinema canada,
i275461567,c24373679,0045-1150,PB1011721,l'avant-scène cinéma,
i275440473,c21349447,0731-5198,PB1013656,the independent,"Independent (New York, N.Y. : 1978)"
i275474355,c24500367,0098-0471 0098-0471 1,PB1012799,film review digest,"Film review digest (Millwood, N.Y.)"
i275471184,c24498361,0743-4545 0743-4545 1,PB1012623,film and video makers travel sheet,
i275462262,c24373679,0045-1150,PB1010973,l'avant-scène cinéma,
i275469025,c24497460,0009-7071 0009-7071 4,PB1012288,cinema canada,
i275426324,c21926451,0300-7472,PB1011448,afterimage,
i275432804,c1740910x,0199-7300 1,PB1008461,the film journal,
i275471457,c24498361,0743-4545 0743-4545 1,PB1012650,film and video makers travel sheet,
i275458714,c24373667,0048-4911 0048-4911 z,PB1010682,positif,
i275451239,c24357571,0019-3712 0019-3712 1,PB1014129,the independent film journal,
i275478130,c2450144x,0015-1610 0015-1610 1,PB1013291,filmmakers newsletter,
i275476868,c24501402,0306-7661 0306-7661,PB1013419,framework,
i275459007,c24373667,0048-4911 0048-4911 z,PB1010712,positif,
i275450727,c24357571,0019-3712 0019-3712 1,PB1014078,the independent film journal,
i275465640,c24495724,1041-617X 1,PB1011897,animation magazine,
i275458234,c24373667,0048-4911 0048-4911 z,PB1010634,positif,
i27547219x,c24499419,0163-5069 0163-5069 1,PB1012486,film criticism,
i27544000x,c21349447,0731-5198,PB1013609,the independent,"Independent (New York, N.Y. : 1978)"
i275473351,c24500331,0311-3639 0311-3639,PB1012779,cinema papers,
i275423803,c22834175,0738-7563,PB1014580,video networks,
i275477447,c2450144x,0015-1610 0015-1610 1,PB1013184,filmmakers newsletter,
i275476248,c24501360,0015-5128,PB1013357,focus on film,
i275483162,c24501839,0164-9655 0164-9655 1,PB1013983,millimeter,
i275438958,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008922,the independent film & video monthly,
i275455336,c24358563,0037-4830,PB1011314,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275456869,c24364617,0008-011X 0757-8075,PB1010471,cahiers du cinéma,
i275466346,c24496601,0847-5911,PB1011955,revue canadienne d'études cinématographiques,
i275441209,c17414477,1077-9361 0742-533 0742-5333 1,PB1008135,international documentary,
i275447339,c14756985,0160-6840,PB1007484,wide angle,
i275440916,c17414477,1077-9361 0742-533 0742-5333 1,PB1008105,international documentary,
i275433389,c1740910x,0199-7300 1,PB1008519,the film journal,
i275455804,c24364617,0008-011X 0757-8075,PB1010484,cahiers du cinéma,
i275463734,c24373643,0894-9263 0894-9263 1,PB1011027,premiere,"Premiere (New York, N.Y. : 1987)"
i275453157,c24357613,0027-0407,PB1007512,monthly film bulletin,
i275468963,c24497460,0009-7071 0009-7071 4,PB1012282,cinema canada,
i275471214,c24498361,0743-4545 0743-4545 1,PB1012626,film and video makers travel sheet,
i275423372,c22834175,0738-7563,PB1014537,video networks,
i275440199,c21349447,0731-5198,PB1013628,the independent,"Independent (New York, N.Y. : 1978)"
i275467430,c24497320,0006-8527 0006-8527 1,PB1012080,box office,
i275461828,c24373679,0045-1150,PB1010929,l'avant-scène cinéma,
i275432385,c1740910x,0199-7300 1,PB1008419,the film journal,
i275461774,c24373679,0045-1150,PB1010924,l'avant-scène cinéma,
i275463886,c24369780,0015-153X,PB1010186,filmfacts,
i275463552,c24373643,0894-9263 0894-9263 1,PB1011009,premiere,"Premiere (New York, N.Y. : 1987)"
i275457096,c24364617,0008-011X 0757-8075,PB1010559,cahiers du cinéma,
i275432038,c1740910x,0199-7300 1,PB1008382,the film journal,
i27546734x,c24497320,0006-8527 0006-8527 1,PB1012071,box office,
i275439720,c21349447,0731-5198,PB1013581,the independent,"Independent (New York, N.Y. : 1978)"
i275439057,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013731,the independent film & video monthly,
i275424066,c22834175,0738-7563,PB1014606,video networks,
i275471664,c24498361,0743-4545 0743-4545 1,PB1012671,film and video makers travel sheet,
i275460289,c24373679,0045-1150,PB1010850,l'avant-scène cinéma,
i275481335,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013846,main,"MAIN (Oakland, Calif.)"
i275441994,c24884753,0195-6051 0195-6051 0047-2719 1,PB1007500,the journal of popular film and television,
i275485651,c24501955,1079-6851 1079-6851 1,PB1014415,scenario,"Scenario (New York, N.Y.)"
i281473043,c17414477,1077-9361 0742-533 0742-5333 1,PB1015929,international documentary,
i275469700,c24498282,0145-6032 1,PB1012407,cinefantastique,
i275461488,c24373679,0045-1150,PB1011713,l'avant-scène cinéma,
i275486874,c24502571,0306-0691,PB1014452,screen education,Screen education (1974)
i275487180,c24502571,0306-0691,PB1014483,screen education,Screen education (1974)
i275473107,c24500331,0311-3639 0311-3639,PB1012754,cinema papers,
i275433547,c1740910x,0199-7300 1,PB1008535,the film journal,
i275441398,c17414477,1077-9361 0742-533 0742-5333 1,PB1008153,international documentary,
i275470131,c24498294,1049-0434 1049-0434 1,PB1012456,entertainment weekly,
i275425332,c17398411,0261-4472,PB1011172,afterimage,"Afterimage (London, England)"
i275482029,c24501785,0025-6897 0025-6897 1,PB1013945,media and methods,
i275456055,c24364617,0008-011X 0757-8075,PB1010516,cahiers du cinéma,
i275451008,c24357571,0019-3712 0019-3712 1,PB1014105,the independent film journal,
i27547026x,c24498294,1049-0434 1049-0434 1,PB1012469,entertainment weekly,
i275458039,c24373655,0305-1706 0305-1706 z,PB1010615,film dope,
i275438090,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012015,the independent film & video monthly,
i275474653,c24500380,0015-1025 0015-1025 z,PB1013049,film,"Film (London, England : 1954)"
i275453716,c24358617,0090-4260,PB1010129,literature film quarterly,
i275458520,c24373667,0048-4911 0048-4911 z,PB1010663,positif,
i275481050,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013816,main,"MAIN (Oakland, Calif.)"
i275438545,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013705,the independent film & video monthly,
i275439938,c21349447,0731-5198,PB1013602,the independent,"Independent (New York, N.Y. : 1978)"
i275476479,c24501360,0015-5128,PB1013380,focus on film,
i275423141,c22834175,0738-7563,PB1014514,video networks,
i275477307,c2450144x,0015-1610 0015-1610 1,PB1013317,filmmakers newsletter,
i275474902,c24500380,0015-1025 0015-1025 z,PB1013074,film,"Film (London, England : 1954)"
i275426713,c21926451,0300-7472,PB1009204,afterimage,
i275457874,c24370526,0015-1270 0015-1270 1,PB1010205,film heritage,
i275432555,c1740910x,0199-7300 1,PB1008436,the film journal,
i275483083,c24501839,0164-9655 0164-9655 1,PB1013975,millimeter,
i275476650,c24501402,0306-7661 0306-7661,PB1013398,framework,
i275438892,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009308,the independent film & video monthly,
i27548337x,c24501839,0164-9655 0164-9655 1,PB1014004,millimeter,
i275450065,c24356153,0361-722X,PB1009383,film reader,
i27547530x,c24500380,0015-1025 0015-1025 z,PB1013114,film,"Film (London, England : 1954)"
i275454836,c24358563,0037-4830,PB1011264,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275422768,c14643856,0015-1327 0160-7316,PB1012844,film library quarterly,
i275483885,c24501840,0885-5021 0885-5021 1,PB1014236,movietone news,
i275459809,c24373667,0048-4911 0048-4911 z,PB1010794,positif,
i275423876,c22834175,0738-7563,PB1014587,video networks,
i275466759,c24497307,0158-4154 0158-4154,PB1012170,cantrill's filmnotes,
i275423402,c22834175,0738-7563,PB1014540,video networks,
i275467089,c24497319,0147-4049 0147-4049 1,PB1012125,bright lights,
i275461580,c24373679,0045-1150,PB1011723,l'avant-scène cinéma,
i27544143x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008156,international documentary,
i275425939,c21926451,0300-7472,PB1011409,afterimage,
i275475232,c24500380,0015-1025 0015-1025 z,PB1013107,film,"Film (London, England : 1954)"
i27548435x,c24501840,0885-5021 0885-5021 1,PB1014283,movietone news,
i275480859,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013796,main,"MAIN (Oakland, Calif.)"
i275467880,c2449737x,0826-9866,PB1012206,cineaction!,
i275481104,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013822,main,"MAIN (Oakland, Calif.)"
i275460368,c24373679,0045-1150,PB1010858,l'avant-scène cinéma,
i275442160,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009111,the journal of popular film and television,
i275470957,c24498361,0743-4545 0743-4545 1,PB1012600,film and video makers travel sheet,
i275469955,c24498294,1049-0434 1049-0434 1,PB1012438,entertainment weekly,
i275447108,c16330274,0036-9543 0036-9546 z,PB1013226,screen,"Screen (London, England)"
i275439264,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009787,the independent film & video monthly,
i275439914,c21349447,0731-5198,PB1013600,the independent,"Independent (New York, N.Y. : 1978)"
i275427134,c21926451,0300-7472,PB1009246,afterimage,
i275441854,c17414477,1077-9361 0742-533 0742-5333 1,PB1008957,international documentary,
i275455014,c24358563,0037-4830,PB1011282,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275451926,c24357571,0019-3712 0019-3712 1,PB1014198,the independent film journal,
i27542568x,c21926451,0300-7472,PB1011384,afterimage,
i275484828,c24501906,0146-0013,PB1014634,quarterly review of film studies,
i275463941,c24369780,0015-153X,PB1010193,filmfacts,
i275458866,c24373667,0048-4911 0048-4911 z,PB1010696,positif,
i275461543,c24373679,0045-1150,PB1011719,l'avant-scène cinéma,
i275461014,c24373679,0045-1150,PB1011682,l'avant-scène cinéma,
i275470611,c24498361,0743-4545 0743-4545 1,PB1012565,film and video makers travel sheet,
i275426907,c21926451,0300-7472,PB1009223,afterimage,
i275426300,c21926451,0300-7472,PB1011446,afterimage,
i275478488,c24501499,0194-4339 0194-4339 1,PB1013151,filmmakers,
i275426658,c21926451,0300-7472,PB1008806,afterimage,
i275475827,c24500422,0896-6389 0896-6389 1,PB1012851,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275469049,c24497460,0009-7071 0009-7071 4,PB1012290,cinema canada,
i275432828,c1740910x,0199-7300 1,PB1008463,the film journal,
